h3_index,date,count,elevation,elevation_std
87446d448ffffff,2021-03-21,6,123.0,1.0346559153844919
87446d448ffffff,2021-06-02,5,123.0,1.0346559153844919
87446d448ffffff,2021-10-02,2,123.0,1.0346559153844919
87446d448ffffff,2021-10-13,4,123.0,1.0346559153844919
87446d448ffffff,2021-12-09,2,123.0,1.0346559153844919
87446d448ffffff,2021-12-10,1,123.0,1.0346559153844919
87446d448ffffff,2022-02-27,1,123.0,1.0346559153844919
87446d448ffffff,2022-03-09,4,123.0,1.0346559153844919
87446d448ffffff,2022-05-14,2,123.0,1.0346559153844919
87446d448ffffff,2022-08-25,1,123.0,1.0346559153844919
87446d448ffffff,2022-09-07,12,123.0,1.0346559153844919
87446d448ffffff,2023-01-11,8,123.0,1.0346559153844919
87446d448ffffff,2023-02-04,1,123.0,1.0346559153844919
87446d448ffffff,2023-04-08,4,123.0,1.0346559153844919
87446d448ffffff,2023-04-25,2,123.0,1.0346559153844919
87446d448ffffff,2023-05-06,7,123.0,1.0346559153844919
87446d448ffffff,2023-11-05,2,123.0,1.0346559153844919
87446d448ffffff,2023-12-17,9,123.0,1.0346559153844919
87446d448ffffff,2024-01-27,6,123.0,1.0346559153844919
87446d448ffffff,2024-02-09,4,123.0,1.0346559153844919
87446d448ffffff,2024-03-03,3,123.0,1.0346559153844919
87446d448ffffff,2024-04-13,1,123.0,1.0346559153844919
87446d448ffffff,2024-04-21,7,123.0,1.0346559153844919
87446d448ffffff,2024-05-01,1,123.0,1.0346559153844919
87446d448ffffff,2024-05-04,2,123.0,1.0346559153844919
87446d44cffffff,2018-03-15,1,133.0,1.4596275955692042
87446d44cffffff,2018-05-23,7,133.0,1.4596275955692042
87446d44cffffff,2018-06-22,2,133.0,1.4596275955692042
87446d44cffffff,2018-09-23,27,133.0,1.4596275955692042
87446d44cffffff,2018-10-20,2,133.0,1.4596275955692042
87446d44cffffff,2018-11-11,2,133.0,1.4596275955692042
87446d44cffffff,2018-12-17,2,133.0,1.4596275955692042
87446d44cffffff,2019-02-16,2,133.0,1.4596275955692042
87446d44cffffff,2019-04-09,7,133.0,1.4596275955692042
87446d44cffffff,2019-06-29,7,133.0,1.4596275955692042
87446d44cffffff,2019-09-21,3,133.0,1.4596275955692042
87446d44cffffff,2019-11-18,4,133.0,1.4596275955692042
87446d44cffffff,2019-12-24,3,133.0,1.4596275955692042
87446d44cffffff,2020-02-08,5,133.0,1.4596275955692042
87446d44cffffff,2020-03-08,2,133.0,1.4596275955692042
87446d44cffffff,2020-03-18,4,133.0,1.4596275955692042
87446d44cffffff,2020-03-26,5,133.0,1.4596275955692042
87446d44cffffff,2020-04-06,8,133.0,1.4596275955692042
87446d44cffffff,2020-04-11,1,133.0,1.4596275955692042
87446d44cffffff,2020-04-20,8,133.0,1.4596275955692042
87446d44cffffff,2020-05-10,3,133.0,1.4596275955692042
87446d44cffffff,2020-05-20,7,133.0,1.4596275955692042
87446d44cffffff,2020-06-03,10,133.0,1.4596275955692042
87446d44cffffff,2020-06-27,3,133.0,1.4596275955692042
87446d44cffffff,2020-07-28,1,133.0,1.4596275955692042
87446d44cffffff,2020-08-21,3,133.0,1.4596275955692042
87446d44cffffff,2020-09-06,1,133.0,1.4596275955692042
87446d44cffffff,2020-09-25,35,133.0,1.4596275955692042
87446d44cffffff,2020-11-05,2,133.0,1.4596275955692042
87446d44cffffff,2020-11-19,1,133.0,1.4596275955692042
87446d44cffffff,2020-12-03,3,133.0,1.4596275955692042
87446d44cffffff,2021-01-09,6,133.0,1.4596275955692042
87446d44cffffff,2021-03-21,9,133.0,1.4596275955692042
87446d44cffffff,2021-06-02,2,133.0,1.4596275955692042
87446d44cffffff,2021-10-02,7,133.0,1.4596275955692042
87446d44cffffff,2021-10-13,13,133.0,1.4596275955692042
87446d44cffffff,2021-11-17,2,133.0,1.4596275955692042
87446d44cffffff,2021-12-09,3,133.0,1.4596275955692042
87446d44cffffff,2021-12-28,6,133.0,1.4596275955692042
87446d44cffffff,2022-01-16,2,133.0,1.4596275955692042
87446d44cffffff,2022-01-26,4,133.0,1.4596275955692042
87446d44cffffff,2022-02-27,7,133.0,1.4596275955692042
87446d44cffffff,2022-03-09,6,133.0,1.4596275955692042
87446d44cffffff,2022-05-14,2,133.0,1.4596275955692042
87446d44cffffff,2022-05-26,6,133.0,1.4596275955692042
87446d44cffffff,2022-07-10,5,133.0,1.4596275955692042
87446d44cffffff,2022-08-18,1,133.0,1.4596275955692042
87446d44cffffff,2022-08-25,8,133.0,1.4596275955692042
87446d44cffffff,2022-09-07,6,133.0,1.4596275955692042
87446d44cffffff,2022-09-21,3,133.0,1.4596275955692042
87446d44cffffff,2022-10-29,1,133.0,1.4596275955692042
87446d44cffffff,2023-02-18,5,133.0,1.4596275955692042
87446d44cffffff,2023-02-28,5,133.0,1.4596275955692042
87446d44cffffff,2023-04-08,2,133.0,1.4596275955692042
87446d44cffffff,2023-04-25,13,133.0,1.4596275955692042
87446d44cffffff,2023-05-06,10,133.0,1.4596275955692042
87446d44cffffff,2023-07-23,1,133.0,1.4596275955692042
87446d44cffffff,2023-11-05,1,133.0,1.4596275955692042
87446d44cffffff,2023-12-17,4,133.0,1.4596275955692042
87446d44cffffff,2023-12-25,4,133.0,1.4596275955692042
87446d44cffffff,2024-01-27,1,133.0,1.4596275955692042
87446d44cffffff,2024-03-30,7,133.0,1.4596275955692042
87446d44cffffff,2024-04-13,1,133.0,1.4596275955692042
87446d44cffffff,2024-04-21,5,133.0,1.4596275955692042
87446d44cffffff,2024-05-01,2,133.0,1.4596275955692042
87446d44cffffff,2024-09-06,10,133.0,1.4596275955692042
87446d44cffffff,2024-10-05,4,133.0,1.4596275955692042
87446d44effffff,2018-05-23,5,121.0,0.9496615793475494
87446d44effffff,2018-06-22,9,121.0,0.9496615793475494
87446d44effffff,2018-09-23,24,121.0,0.9496615793475494
87446d44effffff,2018-11-11,3,121.0,0.9496615793475494
87446d44effffff,2019-04-09,4,121.0,0.9496615793475494
87446d44effffff,2019-06-29,7,121.0,0.9496615793475494
87446d44effffff,2019-09-21,18,121.0,0.9496615793475494
87446d44effffff,2019-10-19,3,121.0,0.9496615793475494
87446d44effffff,2020-02-08,8,121.0,0.9496615793475494
87446d44effffff,2020-03-08,1,121.0,0.9496615793475494
87446d44effffff,2020-03-18,5,121.0,0.9496615793475494
